category,name,country,website
General Public,Roland Berger,Europe,www.rolandberger.com
Industrial clusters,Brazilian Association of Research and Development in Petroleum and Gas (ABPG),Brazil,www.portalabpg.org.br
Industrial clusters,Assomineraria,Italy,
Industrial clusters,Danieli & c Officine meccaniche,Italy,www.danieli.com
Industrial clusters,Gortani,Italy,www.gortani.com
Industrial clusters,INTERTANKO,International,www.intertanko.com
Industrial clusters,Maritime Technology Cluster FVG,Italy,www.marefvg.it
Industrial clusters,MARTECMA,Greece,www.martecma.com
Industrial clusters,Primetals Technologies GmbH,Austria,www.primetals.com
Industrial clusters,Riva acciaio,Italy,www.rivagroup.com
Industrial clusters,Sedigas,Spain,www.sedigas.es
Industrial clusters,SIGTTO,International,www.sigtto.org
Industrial clusters,SMS Concast Ag,Switzerland,www.sms-concast.ch
Interest & Networking organizations,Area Science Park,Italy,www.areasciencepark.it
Interest & Networking organizations,Associazione Italiana Pressure Equipment,Italy,www.aipe.it
Interest & Networking organizations,Confindustria Udine,Italy,www.confindustria.ud.it
Interest & Networking organizations,European Hydrogen and Fuel Cell Association,Europe,www.h2euro.org
Interest & Networking organizations,Waterborne – European Technology Platform,Europe,www.waterborne.eu
Interest & Networking organizations,Euroscience Open Forum,,www.esof.eu/en
Interest & Networking organizations,Federmeccanica,Italy,www.federmeccanica.it
Interest & Networking organizations,Marine Transport Technology Platform,,
Interest & Networking organizations,Maritime Spatial Planning Platform,,
Interest & Networking organizations,Maritime Technology Cluster,Italy,www.marefvg.it/en/
Interest & Networking organizations,Maritime Transport Coordination Platform,,
Interest & Networking organizations,SEA Europe,,
Interest & Networking organizations,SISSA,Italy,www.sissa.it
Interest & Networking organizations,Sustainable Transport Forum,,
Interest & Networking organizations,Univ. Of Naples,Italy,www.unina.it
Interest & Networking organizations,University Of Genova,Italy,www.unige.it
Interest & Networking organizations,University of Strathclyde engineering,,www.strah.ac.uk/naome
Interest & Networking organizations,University of Trieste,Italy,www.units.it
Interest & Networking organizations,University of Udine,Italy,www.uniud.it/en
Media,Ansa.it,Italy,www.ansa.it
Media,Corriere della Sera,Italy,www.corriere.it
Media,CWC LNG Hub,International,http://lnghub.biz
Media,Financial Times,,www.ft.com
Media,Geoexpro,UK,www.geoexpro.com
