term,title,url,inn,accessed,search
url Kitchin 2014 SagePub item,The Data Revolution | SAGE Publications Ltd,https://uk.sagepub.com/en-gb/eur/the-data-revolution/book242780,uk.sagepub.com,2021-12-02,kitchin+data+revolution
url Kitchin 2014 Amazon item,"Big Data, Open Data, Data Infrastructures & Their Consequences",https://methods.sagepub.com/book/the-data-revolution,methods.sagepub.com,2021-12-02,kitchin+data+revolution
url Kitchin 2014 SagePub ResearchMethods item,"The Data Revolution: Big Data, Open Data, Data Infrastructures and ...",https://www.amazon.com/Data-Revolution-Rob-Kitchin/dp/1446287483,www.amazon.com,2021-12-02,kitchin+data+revolution
url Kitchin 2021b Amazon item,"The Data Revolution: A Critical Analysis of Big Data, Open Data and ...",https://www.amazon.com/Data-Revolution-Critical-Analysis-Infrastructures/dp/1529733758,www.amazon.com,2021-12-02,kitchin+data+revolution
url Kitchin 2014 TheCultureSociety bookreview,"Review: Rob Kitchin, 'The Data Revolution' - Theory, Culture & Society",https://www.theoryculturesociety.org/blog/review-rob-kitchin-the-data-revolution,www.theoryculturesociety.org,2021-12-02,kitchin+data+revolution
url Google Books search00,"The Data Revolution: Big Data, Open Data, Data ... - Google Books",https://books.google.com/books/about/The_Data_Revolution.html%3Fid%3DGfOICwAAQBAJ,books.google.com,2021-12-02,kitchin+data+revolution
url Google Books search01,The Data Revolution - Rob Kitchin - Google Books,https://books.google.com/books/about/The_Data_Revolution.html%3Fid%3DhqdqrgEACAAJ,books.google.com,2021-12-02,kitchin+data+revolution
url Rob Kitchin YouTube video00,"Rob Kitchin talks about big data, open data and the 'data revolution'",https://www.youtube.com/watch%3Fv%3DQpDfLoUHqE4,www.youtube.com,2021-12-02,kitchin+data+revolution
url Kitchin 2014 bookwebsite,"The Data Revolution | A book about big data, open data, data ...",https://thedatarevolutionbook.wordpress.com/,thedatarevolutionbook.wordpress.com,2021-12-02,kitchin+data+revolution
url Kitchin 2021b Powells item,The Data Revolution - Hardcover: 9781529733761 - Powell's Books,https://www.powells.com/book/the-data-revolution-9781529733761,www.powells.com,2021-12-02,kitchin+data+revolution
url Google Books search03,The Data Revolution - Rob Kitchin - Google Books,https://books.google.com/books/about/The_Data_Revolution.html%3Fid%3DhqdqrgEACAAJ,books.google.com,2021-12-02,kitchin+data+revolution
url Kitchin 2021b GeographicalResearch bookreview,The Data Revolution - Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/1745-5871.12109,onlinelibrary.wiley.com,2021-12-02,kitchin+data+revolution
url Kitchin 2014 JournalOfRegionalScience bookreview,"Sage Publications. 222+xvii. ISBN: 978‐1446287484, $100.",https://onlinelibrary.wiley.com/doi/abs/10.1111/jors.12293,onlinelibrary.wiley.com,2021-12-02,kitchin+data+revolution
url Kitchin 2014 GoodRead item,"The Data Revolution: Big Data, Open Data, Data Infrastructure...",https://www.goodreads.com/en/book/show/20974705,www.goodreads.com,2021-12-02,kitchin+data+revolution
url Kitchin 2014 SurveillanceSociety bookreview,View of Review of Kitchin's 'The Data Revolution',https://ojs.library.queensu.ca/index.php/surveillance-and-society/article/view/Kitchin/kitchinr,ojs.library.queensu.ca,2021-12-02,kitchin+data+revolution
url Kitchin booklist,List of books by author Rob Kitchin - ThriftBooks,https://www.thriftbooks.com/a/rob-kitchin/435500/,www.thriftbooks.com,2021-12-02,kitchin+data+revolution
url Kitchin 2014 IrishTechNews interview bookreview,"The Data Revolution by Rob Kitchin, review and interview",https://irishtechnews.ie/the-data-revolution-by-rob-kitchin-review-and-interview/,irishtechnews.ie,2021-12-02,kitchin+data+revolution
url Kitchin 2014 WhiteRose bookreview,"[PDF] Book Review: The Data Revolution: Big Data, Open Data, Data ...",https://eprints.whiterose.ac.uk/113295/1/data-revolution-review-rl.pdf,eprints.whiterose.ac.uk,2021-12-02,kitchin+data+revolution
url Rob Kitchin AcademicBooks website,Academic books | Rob Kitchin,https://www.kitchin.org/%3Fpage_id%3D2,www.kitchin.org,2021-12-02,kitchin+data+revolution
